timestamp,protocol,src_ip,dst_ip,src_port,dst_port,packet_size,flags,ttl,payload_size
2025-12-11 01:16:11.258550,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.258794,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.259084,TCP,10.10.2.10,104.208.16.95,50735,443,1414,A,64,1348
2025-12-11 01:16:11.259389,TCP,10.10.2.10,104.208.16.95,50735,443,696,PA,64,630
2025-12-11 01:16:11.265640,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.265901,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.266151,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.266402,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.266809,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.267043,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.275805,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.276126,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.276429,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.276735,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.277038,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.277316,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.277564,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.285818,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.286084,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.286338,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
